Word1,Word2,POS,Sim1,Sim2,STD,Cosine,Pearson,Spearman 
biến,ngập,V,3.13,5.22,0.72,-0.005,-0.006,-0.021
nhà_thi_đấu,nhà,N,3.07,5.12,1.18,0.083,0.082,0.105
động,tĩnh,V,0.6,1.0,0.95,0.277,0.277,0.27
khuyết,ưu,N,0.2,0.33,0.4,0.177,0.158,0.151
cõi_tục,cõi_âm,N,0.6,1.0,0.95,None,None,None
thủ_pháp,biện_pháp,N,4.13,6.88,1.26,0.402,0.395,0.394
kết_duyên,thành_hôn,V,5.27,8.78,1.06,0.463,0.462,0.444
cấp_tiến,bảo_thủ,A,0.87,1.45,1.15,0.257,0.257,0.268
nước_lớn,nguy_hiểm,N,1.07,1.78,1.12,0.185,0.188,0.211
hoa,nhị,N,2.27,3.78,0.93,0.223,0.218,0.238
bất_lợi,thuận_lợi,N,0.33,0.55,0.79,0.535,0.536,0.427
phân_ly,sum_họp,V,0.47,0.78,1.09,0.078,0.08,0.086
nói_lắp,nói_móc,V,3.53,5.88,0.81,None,None,None
vây_ép,phong_toả,V,3.4,5.67,0.95,None,None,None
diễu_hành,tuần_hành,V,4.53,7.55,1.15,0.644,0.644,0.582
cao_trào,thoái_trào,N,0.53,0.88,0.88,0.361,0.361,0.35
thịnh,suy,V,0.67,1.12,1.14,0.06,0.062,0.079
con_voi,ngà,N,1.6,2.67,1.08,0.239,0.235,0.227
cá_chuối,cá_quả,N,4.13,6.88,1.31,0.166,0.17,0.154
đổ_bê_tông,biếu_xén,V,0.33,0.55,0.6,-0.173,-0.173,-0.137
con_đẻ,con_ruột,N,5.33,8.88,1.07,0.642,0.646,0.646
uỷ_nhiệm,phân_công,V,4.33,7.22,1.4,0.288,0.277,0.287
bay_lượn,chuyển_động,V,3.93,6.55,1.18,0.388,0.389,0.341
khêu_gợi,khơi_gợi,V,4.6,7.67,0.8,0.256,0.255,0.215
thăng_bằng,cân_bằng,V,3.53,5.88,1.2,0.48,0.48,0.5
chọn_lựa,tuyển_chọn,N,4.33,7.22,1.19,0.472,0.471,0.447
có_ích,hữu_ích,A,5.67,9.45,0.7,0.662,0.663,0.666
cứng_rắn,nhỏ_nhắn,A,0.47,0.78,0.96,0.225,0.226,0.173
bội_nghĩa,biết_ơn,V,0.4,0.67,0.8,None,None,None
lỗ_đen,hố_đen,N,3.33,5.55,1.14,0.734,0.734,0.735
vùi,đóng,V,1.47,2.45,1.41,-0.014,-0.015,0.017
tính_tình,tính_khí,N,3.4,5.67,0.8,0.688,0.689,0.658
mục_sư,giáo_sĩ,N,4.0,6.67,0.97,0.596,0.596,0.558
cộng_đồng,dân_tộc,N,3.53,5.88,1.02,0.375,0.377,0.397
rớ,sờ,V,5.2,8.67,0.75,0.386,0.394,0.391
trả_đũa,đền_đáp,N,3.13,5.22,1.09,0.233,0.236,0.247
tay_cầm,phân_đạm,N,0.47,0.78,1.02,-0.03,-0.03,-0.029
liên_hệ,nguỵ_trang,V,0.07,0.12,0.25,0.092,0.092,0.102
mới_tinh,mới_toanh,A,5.73,9.55,0.77,0.481,0.482,0.471
cột_trụ,bệ,N,2.13,3.55,0.81,0.443,0.442,0.374
họp_mặt,tiệc,N,3.93,6.55,0.85,0.428,0.431,0.362
lộn_xộn,gọn_gàng,A,0.4,0.67,0.61,0.344,0.344,0.334
chủ_động,thụ_động,V,0.53,0.88,0.88,0.478,0.481,0.477
vali,tay_cầm,N,1.47,2.45,0.88,0.166,0.166,0.191
đơn_tiết,đơn_âm,A,4.8,8.0,0.83,None,None,None
ghen_tị,ghen_ghét,V,4.6,7.67,1.14,0.352,0.352,0.32
ngả_nghiêng,sờn_lòng,V,3.0,5.0,1.1,None,None,None
ngôn_ngữ_học,khoa_học,N,3.67,6.12,1.4,0.537,0.536,0.484
vẹo,vẹo_vọ,A,4.93,8.22,0.93,None,None,None
thu_gom,tiếp_sức,V,0.73,1.22,0.77,0.17,0.172,0.207
quy_trình,sáng_tác,N,3.2,5.33,0.83,-0.096,-0.096,-0.093
thành_thị,thị_thành,N,5.93,9.88,0.25,0.406,0.415,0.42
nhảy_nhót,nhích,V,3.6,6.0,1.14,0.177,0.189,0.18
ly_tâm,hướng_tâm,V,0.73,1.22,0.85,0.093,0.106,0.122
cống,đường_ống,N,4.4,7.33,1.08,0.656,0.665,0.67
còm,nhỏ_nhoi,A,3.8,6.33,1.22,0.159,0.162,0.152
bánh_răng,răng,N,1.87,3.12,0.81,0.257,0.258,0.277
nao_núng,kiên_định,V,0.27,0.45,0.57,0.252,0.237,0.21
bằng_hữu,bầu_bạn,N,4.27,7.12,1.24,0.314,0.324,0.336
thân,lưng,N,2.13,3.55,0.88,0.308,0.315,0.31
bút_chì,lô,N,0.0,0.0,0.0,0.142,0.137,0.12
cổng,ổ_khoá,N,2.27,3.78,0.77,0.354,0.354,0.36
dị_bản,đĩa_bay,N,0.47,0.78,0.88,0.166,0.159,0.119
nguây_nguẩy,ngúng_nguẩy,V,4.87,8.12,1.2,None,None,None
biên_nhận,ứng_chiến,V,0.6,1.0,0.8,None,None,None
truy_cập,thâm_nhập,V,4.27,7.12,0.77,0.49,0.499,0.505
chỉ_định,hạ_bút,V,0.27,0.45,0.57,None,None,None
âm,nguy_hiểm,N,0.33,0.55,0.6,0.09,0.091,0.101
thăng_trầm,khô_kiệt,A,0.33,0.55,0.7,-0.01,-0.011,-0.007
thay_thế,biến_đổi,N,4.13,6.88,1.02,0.183,0.189,0.146
ban_công,lan_can,N,2.33,3.88,0.79,0.55,0.547,0.535
dưới,trên,N,0.4,0.67,0.71,0.21,0.228,0.241
kháng_cự,phản_đối,V,4.0,6.67,0.97,0.054,0.04,0.053
cầm,rờ_mó,V,3.73,6.22,1.12,None,None,None
vế,vai_vế,N,4.27,7.12,0.85,0.195,0.195,0.149
vắng_lặng,ồn_ào,A,0.33,0.55,0.7,0.553,0.555,0.566
xót_thương,đau_lòng,V,5.27,8.78,0.77,0.54,0.54,0.48
găng_tay,quần_áo,N,3.13,5.22,0.88,0.445,0.444,0.389
lộp_bộp,lộp_độp,A,5.13,8.55,0.81,None,None,None
sinh_vật_cảnh,đồng_dao,N,0.07,0.12,0.25,0.183,0.189,0.145
lặn,mọc,V,0.33,0.55,0.7,0.188,0.196,0.19
bồ_bịch,nhân_tình,N,5.27,8.78,0.85,0.431,0.422,0.378
bằng_chứng,chứng_cứ,N,3.33,5.55,0.7,0.728,0.73,0.729
hạ_màn,mở_màn,V,0.33,0.55,0.7,0.481,0.485,0.432
ca_tụng,đoàn_kết,V,2.67,4.45,0.7,0.062,0.067,0.058
ngày,đêm,N,0.33,0.55,0.7,0.502,0.502,0.493
lan_can,rào,N,2.8,4.67,0.75,0.497,0.494,0.501
trở_lại,đảo_ngược,V,3.0,5.0,0.73,0.264,0.262,0.258
nhạc_nhẹ,tiểu_học,N,0.0,0.0,0.0,-0.008,-0.027,-0.016
tự_do,đức_tính,N,1.0,1.67,1.03,0.002,0.004,-0.0
hợp_nhất,liên_kết,N,3.53,5.88,1.09,0.338,0.339,0.255
hoàng_tộc,hoàng_gia,N,5.0,8.33,0.82,0.433,0.438,0.408
đầu_mối,chỗ,N,3.07,5.12,1.06,0.164,0.164,0.178
tinh_luyện,hoá_lỏng,V,2.93,4.88,0.68,0.349,0.361,0.353
bí_hiểm,bí_mật,N,4.4,7.33,1.02,0.288,0.288,0.242
chung_tình,phụ_bạc,V,0.33,0.55,0.6,0.399,0.392,0.369
bàn_cãi,cân_nhắc,V,3.93,6.55,1.12,0.277,0.276,0.259
nhảy_cao,ném_đĩa,N,3.2,5.33,0.75,0.473,0.463,0.447
bánh_hỏi,bánh_giò,N,3.33,5.55,0.7,None,None,None
tiếng_chuông,âm_thanh,N,2.87,4.78,0.72,0.381,0.378,0.335
